mean,stdev,variance,skew,kurtosis,max,min,rms,en,fine_stdev,label
106.2520,14.8241,219.7545,1.0087,-0.7578,128.0280,94.7840,107.0248,11454.3034,5.4229,ECU0
117.8690,14.9509,223.5293,-0.0078,-1.9896,130.8000,104.0040,118.5780,14060.7481,12.7894,ECU0
102.7920,3.9040,15.2415,-0.2381,-1.6818,106.1800,98.1720,102.8476,10577.6264,3.9040,ECU0
105.7130,13.8433,191.6369,1.0544,-0.7346,126.1800,95.7080,106.3906,11318.9660,4.3294,ECU0
106.1600,1.6870,2.8459,0.0000,-1.6400,108.0080,104.3120,106.1701,11272.0800,1.6870,ECU0
101.2520,3.4937,12.2058,0.4177,-1.0773,105.8720,97.5560,101.2972,10261.1219,3.4937,ECU0
112.6280,12.1572,147.7981,1.1310,-0.6863,130.8000,105.8520,113.1190,12795.9150,12.1572,ECU0
98.4800,2.2773,5.1859,-0.2743,-1.5622,100.6360,95.7080,98.4997,9702.1998,2.2773,ECU0
97.3250,3.4607,11.9766,0.3627,-1.0491,101.8680,93.5520,97.3711,9481.1381,3.4607,ECU0
115.5640,14.4406,208.5305,-0.0376,-1.8794,129.5680,100.6360,116.2387,13511.4360,3.6874,ECU0
90.0100,4.3739,19.1309,0.3387,-1.0846,95.7080,85.2360,90.0897,8116.1483,4.3739,ECU0
96.7860,2.7144,7.3678,0.0000,-1.2031,100.0200,93.5520,96.8145,9373.0556,2.7144,ECU0
171.6270,11.6563,135.8690,1.0937,-0.7177,188.9520,164.3120,171.9236,29557.7289,11.6563,ECU0
115.0970,15.1101,228.3152,0.0633,-1.9077,130.8000,101.5600,115.8385,13418.5558,12.1582,ECU0
117.4070,14.7970,218.9503,-0.0106,-1.9767,130.8000,103.3880,118.1043,13948.6164,12.8511,ECU0
100.7130,3.9313,15.4549,0.0656,-1.0633,105.5640,96.0160,100.7705,10154.6996,3.9313,ECU0
96.0930,3.1548,9.9528,0.0834,-1.0236,100.0200,92.3200,96.1318,9241.3293,3.1548,ECU0
109.7790,11.9668,143.2051,1.1511,-0.6694,127.7200,103.3880,110.2671,12158.8327,11.9668,ECU0
94.0140,2.9596,8.7591,0.0000,-1.1724,97.5560,90.4720,94.0489,8845.2015,2.9596,ECU0
98.7110,3.4789,12.1031,-0.0117,-1.9740,101.8680,95.4000,98.7570,9752.9388,3.4789,ECU0
93.7060,2.9809,8.8856,-0.7490,-1.0667,96.0160,89.5480,93.7416,8787.4786,2.9809,ECU0
107.7770,2.8046,7.8658,0.2724,-1.0526,111.3960,104.6200,107.8044,11621.7811,2.8046,ECU0
107.8540,2.8948,8.3797,0.0000,-1.0075,111.3960,104.3120,107.8831,11638.7701,2.8948,ECU0
